descriptor,reason,r
Mordred_Mor04p,nonnumeric,
Mordred_Mor04se,nonnumeric,
Mordred_Mor04v,nonnumeric,
Mordred_Mor05,nonnumeric,
Mordred_Mor05m,nonnumeric,
Mordred_Mor05p,nonnumeric,
Mordred_Mor05se,nonnumeric,
Mordred_Mor05v,nonnumeric,
Mordred_Mor06,nonnumeric,
Mordred_Mor06m,nonnumeric,
Mordred_Mor06p,nonnumeric,
Mordred_Mor06se,nonnumeric,
Mordred_Mor06v,nonnumeric,
Mordred_Mor07,nonnumeric,
Mordred_Mor07m,nonnumeric,
Mordred_Mor07p,nonnumeric,
Mordred_Mor07se,nonnumeric,
Mordred_Mor07v,nonnumeric,
Mordred_Mor08,nonnumeric,
Mordred_Mor08m,nonnumeric,
Mordred_Mor08p,nonnumeric,
Mordred_Mor08se,nonnumeric,
Mordred_Mor08v,nonnumeric,
Mordred_Mor09,nonnumeric,
Mordred_Mor09m,nonnumeric,
Mordred_Mor09p,nonnumeric,
Mordred_Mor09se,nonnumeric,
Mordred_Mor09v,nonnumeric,
Mordred_Mor10,nonnumeric,
Mordred_Mor10m,nonnumeric,
Mordred_Mor10p,nonnumeric,
Mordred_Mor10se,nonnumeric,
Mordred_Mor10v,nonnumeric,
Mordred_Mor11,nonnumeric,
Mordred_Mor11m,nonnumeric,
Mordred_Mor11p,nonnumeric,
Mordred_Mor11se,nonnumeric,
Mordred_Mor11v,nonnumeric,
Mordred_Mor12,nonnumeric,
Mordred_Mor12m,nonnumeric,
Mordred_Mor12p,nonnumeric,
Mordred_Mor12se,nonnumeric,
Mordred_Mor12v,nonnumeric,
Mordred_Mor13,nonnumeric,
Mordred_Mor13m,nonnumeric,
Mordred_Mor13p,nonnumeric,
Mordred_Mor13se,nonnumeric,
Mordred_Mor13v,nonnumeric,
Mordred_Mor14,nonnumeric,
Mordred_Mor14m,nonnumeric,
Mordred_Mor14p,nonnumeric,
Mordred_Mor14se,nonnumeric,
Mordred_Mor14v,nonnumeric,
Mordred_Mor15,nonnumeric,
Mordred_Mor15m,nonnumeric,
Mordred_Mor15p,nonnumeric,
Mordred_Mor15se,nonnumeric,
Mordred_Mor15v,nonnumeric,
Mordred_Mor16,nonnumeric,
Mordred_Mor16m,nonnumeric,
Mordred_Mor16p,nonnumeric,
Mordred_Mor16se,nonnumeric,
Mordred_Mor16v,nonnumeric,
Mordred_Mor17,nonnumeric,
Mordred_Mor17m,nonnumeric,
Mordred_Mor17p,nonnumeric,
Mordred_Mor17se,nonnumeric,
Mordred_Mor17v,nonnumeric,
Mordred_Mor18,nonnumeric,
Mordred_Mor18m,nonnumeric,
Mordred_Mor18p,nonnumeric,
Mordred_Mor18se,nonnumeric,
Mordred_Mor18v,nonnumeric,
Mordred_Mor19,nonnumeric,
Mordred_Mor19m,nonnumeric,
Mordred_Mor19p,nonnumeric,
Mordred_Mor19se,nonnumeric,
Mordred_Mor19v,nonnumeric,
Mordred_Mor20,nonnumeric,
Mordred_Mor20m,nonnumeric,
Mordred_Mor20p,nonnumeric,
Mordred_Mor20se,nonnumeric,
Mordred_Mor20v,nonnumeric,
Mordred_Mor21,nonnumeric,
Mordred_Mor21m,nonnumeric,
Mordred_Mor21p,nonnumeric,
Mordred_Mor21se,nonnumeric,
Mordred_Mor21v,nonnumeric,
Mordred_Mor22,nonnumeric,
Mordred_Mor22m,nonnumeric,
Mordred_Mor22p,nonnumeric,
Mordred_Mor22se,nonnumeric,
Mordred_Mor22v,nonnumeric,
Mordred_Mor23,nonnumeric,
Mordred_Mor23m,nonnumeric,
Mordred_Mor23p,nonnumeric,
Mordred_Mor23se,nonnumeric,
Mordred_Mor23v,nonnumeric,
Mordred_Mor24,nonnumeric,
Mordred_Mor24m,nonnumeric,
Mordred_Mor24p,nonnumeric,
Mordred_Mor24se,nonnumeric,
Mordred_Mor24v,nonnumeric,
Mordred_Mor25,nonnumeric,
Mordred_Mor25m,nonnumeric,
Mordred_Mor25p,nonnumeric,
Mordred_Mor25se,nonnumeric,
Mordred_Mor25v,nonnumeric,
Mordred_Mor26,nonnumeric,
Mordred_Mor26m,nonnumeric,
Mordred_Mor26p,nonnumeric,
Mordred_Mor26se,nonnumeric,
Mordred_Mor26v,nonnumeric,
Mordred_Mor27,nonnumeric,
Mordred_Mor27m,nonnumeric,
Mordred_Mor27p,nonnumeric,
Mordred_Mor27se,nonnumeric,
Mordred_Mor27v,nonnumeric,
Mordred_Mor28,nonnumeric,
Mordred_Mor28m,nonnumeric,
Mordred_Mor28p,nonnumeric,
Mordred_Mor28se,nonnumeric,
Mordred_Mor28v,nonnumeric,
Mordred_Mor29,nonnumeric,
Mordred_Mor29m,nonnumeric,
Mordred_Mor29p,nonnumeric,
Mordred_Mor29se,nonnumeric,
Mordred_Mor29v,nonnumeric,
Mordred_Mor30,nonnumeric,
Mordred_Mor30m,nonnumeric,
Mordred_Mor30p,nonnumeric,
Mordred_Mor30se,nonnumeric,
Mordred_Mor30v,nonnumeric,
Mordred_Mor31,nonnumeric,
Mordred_Mor31m,nonnumeric,
Mordred_Mor31p,nonnumeric,
Mordred_Mor31se,nonnumeric,
Mordred_Mor31v,nonnumeric,
Mordred_Mor32,nonnumeric,
Mordred_Mor32m,nonnumeric,
Mordred_Mor32p,nonnumeric,
Mordred_Mor32se,nonnumeric,
Mordred_Mor32v,nonnumeric,
Mordred_SM1_Dt,nonnumeric,
Mordred_SpAD_Dt,nonnumeric,
Mordred_SpAbs_Dt,nonnumeric,
Mordred_SpDiam_Dt,nonnumeric,
Mordred_SpMAD_Dt,nonnumeric,
Mordred_SpMax_Dt,nonnumeric,
Mordred_VE1_Dt,nonnumeric,
Mordred_VE2_Dt,nonnumeric,
Mordred_VE3_Dt,nonnumeric,
Mordred_VR1_Dt,nonnumeric,
Mordred_VR2_Dt,nonnumeric,
Mordred_VR3_Dt,nonnumeric,
Mordred_AATS5Z,missing>0.2,
Mordred_AATS5are,missing>0.2,
Mordred_AATS5d,missing>0.2,
Mordred_AATS5dv,missing>0.2,
Mordred_AATS5i,missing>0.2,
Mordred_AATS5m,missing>0.2,
Mordred_AATS5p,missing>0.2,
Mordred_AATS5pe,missing>0.2,
Mordred_AATS5s,missing>0.2,
Mordred_AATS5se,missing>0.2,
Mordred_AATS5v,missing>0.2,
Mordred_AATS6Z,missing>0.2,
Mordred_AATS6are,missing>0.2,
Mordred_AATS6d,missing>0.2,
Mordred_AATS6dv,missing>0.2,
Mordred_AATS6i,missing>0.2,
Mordred_AATS6m,missing>0.2,
Mordred_AATS6p,missing>0.2,
Mordred_AATS6pe,missing>0.2,
Mordred_AATS6s,missing>0.2,
Mordred_AATS6se,missing>0.2,
Mordred_AATS6v,missing>0.2,
Mordred_AATS7Z,missing>0.2,
Mordred_AATS7are,missing>0.2,
Mordred_AATS7d,missing>0.2,
Mordred_AATS7dv,missing>0.2,
Mordred_AATS7i,missing>0.2,
Mordred_AATS7m,missing>0.2,
Mordred_AATS7p,missing>0.2,
Mordred_AATS7pe,missing>0.2,
Mordred_AATS7s,missing>0.2,
Mordred_AATS7se,missing>0.2,
Mordred_AATS7v,missing>0.2,
Mordred_AATS8Z,missing>0.2,
Mordred_AATS8are,missing>0.2,
Mordred_AATS8d,missing>0.2,
Mordred_AATS8dv,missing>0.2,
Mordred_AATS8i,missing>0.2,
Mordred_AATS8m,missing>0.2,
Mordred_AATS8p,missing>0.2,
Mordred_AATS8pe,missing>0.2,
Mordred_AATS8s,missing>0.2,
Mordred_AATS8se,missing>0.2,
Mordred_AATS8v,missing>0.2,
Mordred_AATSC5Z,missing>0.2,
Mordred_AATSC5are,missing>0.2,
Mordred_AATSC5c,missing>0.2,
Mordred_AATSC5d,missing>0.2,
Mordred_AATSC5dv,missing>0.2,
Mordred_AATSC5i,missing>0.2,
Mordred_AATSC5m,missing>0.2,
Mordred_AATSC5p,missing>0.2,
Mordred_AATSC5pe,missing>0.2,
Mordred_AATSC5s,missing>0.2,
Mordred_AATSC5se,missing>0.2,
Mordred_AATSC5v,missing>0.2,
Mordred_AATSC6Z,missing>0.2,
Mordred_AATSC6are,missing>0.2,
Mordred_AATSC6c,missing>0.2,
Mordred_AATSC6d,missing>0.2,
Mordred_AATSC6dv,missing>0.2,
Mordred_AATSC6i,missing>0.2,
Mordred_AATSC6m,missing>0.2,
Mordred_AATSC6p,missing>0.2,
Mordred_AATSC6pe,missing>0.2,
Mordred_AATSC6s,missing>0.2,
Mordred_AATSC6se,missing>0.2,
Mordred_AATSC6v,missing>0.2,
Mordred_AATSC7Z,missing>0.2,
Mordred_AATSC7are,missing>0.2,
Mordred_AATSC7c,missing>0.2,
Mordred_AATSC7d,missing>0.2,
Mordred_AATSC7dv,missing>0.2,
Mordred_AATSC7i,missing>0.2,
Mordred_AATSC7m,missing>0.2,
Mordred_AATSC7p,missing>0.2,
Mordred_AATSC7pe,missing>0.2,
Mordred_AATSC7s,missing>0.2,
Mordred_AATSC7se,missing>0.2,
Mordred_AATSC7v,missing>0.2,
Mordred_AATSC8Z,missing>0.2,
Mordred_AATSC8are,missing>0.2,
Mordred_AATSC8c,missing>0.2,
Mordred_AATSC8d,missing>0.2,
Mordred_AATSC8dv,missing>0.2,
Mordred_AATSC8i,missing>0.2,
Mordred_AATSC8m,missing>0.2,
Mordred_AATSC8p,missing>0.2,
Mordred_AATSC8pe,missing>0.2,
Mordred_AATSC8s,missing>0.2,
Mordred_AATSC8se,missing>0.2,
Mordred_AATSC8v,missing>0.2,
Mordred_AXp-3d,missing>0.2,
Mordred_AXp-3dv,missing>0.2,
Mordred_AXp-4d,missing>0.2,
Mordred_AXp-4dv,missing>0.2,
Mordred_AXp-5d,missing>0.2,
Mordred_AXp-5dv,missing>0.2,
Mordred_AXp-6d,missing>0.2,
Mordred_AXp-6dv,missing>0.2,
Mordred_AXp-7d,missing>0.2,
Mordred_AXp-7dv,missing>0.2,
Mordred_GATS5Z,missing>0.2,
Mordred_GATS5are,missing>0.2,
Mordred_GATS5c,missing>0.2,
Mordred_GATS5d,missing>0.2,
Mordred_GATS5dv,missing>0.2,
Mordred_GATS5i,missing>0.2,
Mordred_GATS5m,missing>0.2,
Mordred_GATS5p,missing>0.2,
Mordred_GATS5pe,missing>0.2,
Mordred_GATS5s,missing>0.2,
Mordred_GATS5se,missing>0.2,
Mordred_GATS5v,missing>0.2,
Mordred_GATS6Z,missing>0.2,
Mordred_GATS6are,missing>0.2,
Mordred_GATS6c,missing>0.2,
Mordred_GATS6d,missing>0.2,
Mordred_GATS6dv,missing>0.2,
Mordred_GATS6i,missing>0.2,
Mordred_GATS6m,missing>0.2,
Mordred_GATS6p,missing>0.2,
Mordred_GATS6pe,missing>0.2,
Mordred_GATS6s,missing>0.2,
Mordred_GATS6se,missing>0.2,
Mordred_GATS6v,missing>0.2,
Mordred_GATS7Z,missing>0.2,
Mordred_GATS7are,missing>0.2,
Mordred_GATS7c,missing>0.2,
Mordred_GATS7d,missing>0.2,
Mordred_GATS7dv,missing>0.2,
Mordred_GATS7i,missing>0.2,
Mordred_GATS7m,missing>0.2,
Mordred_GATS7p,missing>0.2,
Mordred_GATS7pe,missing>0.2,
