source,mean_train_r2,mean_cv_r2,std_cv_r2,train_cv_r2_gap,selected
baseline,0.9631334180374953,0.505229763026402,0.33863076403488623,0.4579036550110933,True
hpo_round_1,0.9631334180374951,0.505229763026402,0.33863076403488623,0.4579036550110931,False
hpo_round_2,0.9999999093682279,0.5046483533095183,0.356095562434915,0.4953515560587096,False
hpo_round_3,0.9649552792957561,0.49376915640235375,0.3899011213072132,0.47118612289340234,False
