fold,train_r2,val_r2,train_rmse,val_rmse,train_mae,val_mae
1,0.9729857809091882,0.5942693637944438,0.12931525340412264,0.5682970934463969,0.1157204618168208,0.5313471971027045
2,0.9763337122532728,0.616398567017039,0.12952235525730585,0.3002437955245634,0.1168300620123925,0.24634518814389406
3,0.948709075184144,0.897108649768318,0.18069937514728698,0.2318636032154549,0.15560566318316416,0.20739094619682596
4,0.9678851797016467,0.8564953801686821,0.1495561024641419,0.2762725459990228,0.13358873036163907,0.21675263667184752
5,0.9768690941852791,0.9004115051898831,0.1226600737212334,0.24748115950153038,0.11006066607083283,0.23658806676001987
