generation,best_fitness,avg_fitness
1,0.5914812930230136,0.11148014605858154
2,0.6264450011823903,0.2424854644589295
3,0.7043456979285807,0.3646823595837125
4,0.7043456979285807,0.45213035371390936
5,0.7043456979285807,0.4646751700804393
6,0.7428768965773568,0.5336592037630412
7,0.7428768965773568,0.5628791320310242
8,0.7428768965773568,0.6029549123164166
9,0.7428768965773568,0.6440381158977355
10,0.7428768965773568,0.6550549697777766
11,0.7428768965773568,0.7254339065545702
12,0.7428768965773568,0.726256723697168
13,0.7428768965773568,0.7233779564366839
14,0.7586626959997351,0.7402113972229551
15,0.7586626959997351,0.721575956388317
16,0.7586626959997351,0.7080061875984575
17,0.7586626959997351,0.7153758323647164
18,0.7586626959997351,0.6767159169059699
19,0.7586626959997351,0.7264034170984126
20,0.7586626959997351,0.7540017861104417
21,0.7586626959997351,0.7583469800112874
22,0.7586626959997351,0.7441728863268391
23,0.7586626959997351,0.7522200223854848
24,0.7586626959997351,0.7521299459950219
25,0.7586626959997351,0.7388295116561241
26,0.7586626959997351,0.758662695999735
27,0.7586626959997351,0.7334590545017698
28,0.7586626959997351,0.7395879406207301
29,0.7586626959997351,0.7497138250178034
30,0.7586626959997351,0.7495259328514942
