fold,train_r2,val_r2,train_rmse,val_rmse,train_mae,val_mae
1,0.7255342243602749,0.6453490730341649,0.5314372448437872,0.43780223645361027,0.34424477645626156,0.34613064366005863
2,0.7352968798874309,0.590894677070599,0.49952165196514364,0.6148454063276476,0.31163918029474214,0.48146445456597436
3,0.7398302972009498,0.5350380277227915,0.4844066746371518,0.7111289099344692,0.3076922383996037,0.5019988521535714
4,0.7334534824790611,0.4373113966852338,0.4847163273110754,0.8074828351799392,0.31683400742135004,0.5129098907387898
5,0.7448638013941878,0.4659145862094328,0.49013880683167516,0.702090763981067,0.3225669187900585,0.4361081167363537
