fold,train_r2,val_r2,train_rmse,val_rmse,train_mae,val_mae
1,0.970342218058625,0.24897899289992487,0.17469369174767904,0.6370939319187132,0.11677759313056492,0.4721121733426803
2,0.958284673622608,0.5522288741950327,0.1982999525656023,0.643244986608159,0.12794353682092097,0.5553571043574496
3,0.966747620434859,0.5488955769614716,0.173178160728865,0.7004516455277524,0.11122143218649332,0.5157870259068144
4,0.9635064207937712,0.4708223574282513,0.17935330026647078,0.7830689130473195,0.1173124370198883,0.5870790286942833
5,0.9657978975757179,0.3118556857515994,0.17945660631396645,0.796943741168859,0.11912700108450211,0.5716437464870189
