n_features,mean_train_r2,mean_cv_r2,std_cv_r2,selected_features,val_r2,combined_r2
1,0.9541645223746581,0.3144402360596745,0.176350665582136,['RDKit_MaxAbsPartialCharge'],-0.13579784834205477,0.08932119385880988
2,0.9520839801411789,0.4657087664665195,0.07627596309655975,"['RDKit_HallKierAlpha', 'RDKit_MaxAbsPartialCharge']",0.4777621766221517,0.4717354715443356
3,0.9257581059347294,0.4871590972496695,0.07810051964485282,"['RDKit_HallKierAlpha', 'RDKit_MaxAbsPartialCharge', 'RDKit_fr_NH1']",0.482745165150263,0.4849521311999663
4,0.9010508353138593,0.5012855037871298,0.12711230365471415,"['RDKit_HallKierAlpha', 'RDKit_MaxAbsPartialCharge', 'RDKit_SlogP_VSA8', 'RDKit_fr_NH1']",0.49390291493664673,0.49759420936188825
5,0.904316138856226,0.5014498008498673,0.1325187358646855,"['RDKit_HallKierAlpha', 'RDKit_MaxAbsPartialCharge', 'RDKit_PEOE_VSA2', 'RDKit_SlogP_VSA8', 'RDKit_fr_NH1']",0.6006422089310843,0.5510460048904758
