n_features,mean_train_r2,mean_cv_r2,std_cv_r2,selected_features
1,0.9472357893061756,0.3676896784861366,0.3030526147974494,['BCUTdv-1h']
2,0.9492660407383843,0.5396731532243472,0.2081558486254988,"['BCUTdv-1h', 'SMR_VSA3']"
3,0.944769621260345,0.6067805198835373,0.1805193076733215,"['BCUTdv-1h', 'PEOE_VSA5', 'SMR_VSA3']"
4,0.9445211012094223,0.6233523512528822,0.18876832358659112,"['BCUTdv-1h', 'SdO', 'PEOE_VSA5', 'SMR_VSA3']"
5,0.9398112985359659,0.6217891409649271,0.21941347566635855,"['BCUTdv-1h', 'Xpc-4dv', 'SdO', 'PEOE_VSA5', 'SMR_VSA3']"
6,0.9479476766390845,0.7274656383901862,0.13365690122312754,"['BCUTdv-1h', 'Xpc-4dv', 'SdO', 'PEOE_VSA5', 'SMR_VSA3', 'MID_N']"
7,0.9510356938255894,0.751850319853341,0.14560327988551927,"['BCUTdv-1h', 'Xpc-4dv', 'SdO', 'PEOE_VSA5', 'SMR_VSA3', 'SMR_VSA4', 'MID_N']"
