fold,train_r2,val_r2,train_rmse,val_rmse,train_mae,val_mae
1,0.933710125439345,0.3563715104032078,0.08582273368898567,0.28522734981946335,0.06259828042327904,0.25561761904762026
2,0.8691999259144662,0.35319673959326015,0.12115558171504075,0.2850236648194084,0.08420681216931304,0.2613211904761913
3,0.8381159712464485,0.8705466407130499,0.13561646057110482,0.13151033723908,0.09713875661375543,0.11745880952380787
4,0.8548925417645628,0.42018831500374965,0.1334421804078235,0.0932586471858977,0.10124310776942319,0.08712857142857322
5,0.8598923188194476,-1.1817292223889617,0.13279952850978757,0.26370934561302145,0.0939093358395984,0.23005922619047525
