n_features,mean_train_r2,mean_cv_r2,std_cv_r2,selected_features,val_r2,combined_r2
1,0.853011987753849,0.30992982307774086,0.1831931751811442,['RDKit_Chi2v'],-0.45400347488482895,-0.07203682590354404
2,0.9035384512743059,0.5088951322400777,0.11600368831089315,"['RDKit_Chi2v', 'RDKit_qed']",0.13535303597091286,0.32212408410549526
3,0.9240883566154017,0.5503861119809892,0.10552041491425698,"['RDKit_AvgIpc', 'RDKit_Chi2v', 'RDKit_qed']",0.20086691340470708,0.37562651269284814
4,0.9220914824346017,0.5779765117027231,0.0992497430303553,"['RDKit_AvgIpc', 'RDKit_Chi2v', 'RDKit_fr_pyridine', 'RDKit_qed']",0.145591967417949,0.36178423956033606
5,0.9201611016033613,0.5828854504672624,0.09319379365652045,"['RDKit_AvgIpc', 'RDKit_Chi2v', 'RDKit_fr_ether', 'RDKit_fr_pyridine', 'RDKit_qed']",0.07658873219004003,0.3297370913286512
