descriptor,reason,r
MINsCl,missing>0.2,
MINsBr,missing>0.2,
MDEC-11,missing>0.2,
MDEC-12,missing>0.2,
MDEC-13,missing>0.2,
MDEC-14,missing>0.2,
MDEC-24,missing>0.2,
MDEC-34,missing>0.2,
MDEC-44,missing>0.2,
MDEO-12,missing>0.2,
MDEO-22,missing>0.2,
MDEN-11,missing>0.2,
MDEN-12,missing>0.2,
MDEN-13,missing>0.2,
MDEN-22,missing>0.2,
MDEN-23,missing>0.2,
MDEN-33,missing>0.2,
nSpiro,constant,
nBridgehead,constant,
nB,constant,
nI,constant,
nBondsT,constant,
C1SP1,constant,
C2SP1,constant,
Xch-3d,constant,
Xch-4d,constant,
Xch-3dv,constant,
Xch-4dv,constant,
NsLi,constant,
NssBe,constant,
NssssBe,constant,
NssBH,constant,
NsssB,constant,
NssssB,constant,
NdCH2,constant,
NtCH,constant,
NtsC,constant,
NsNH3,constant,
NssNH2,constant,
NdNH,constant,
NtN,constant,
NsssNH,constant,
NssssN,constant,
NsSiH3,constant,
NssSiH2,constant,
NsssSiH,constant,
NssssSi,constant,
NsPH2,constant,
NssPH,constant,
NsssP,constant,
NsssssP,constant,
NsSH,constant,
NdssS,constant,
NsGeH3,constant,
NssGeH2,constant,
NsssGeH,constant,
NssssGe,constant,
NsAsH2,constant,
NssAsH,constant,
NsssAs,constant,
NsssdAs,constant,
NsssssAs,constant,
NsSeH,constant,
NdSe,constant,
NssSe,constant,
NaaSe,constant,
NdssSe,constant,
NddssSe,constant,
NsSnH3,constant,
NssSnH2,constant,
NsssSnH,constant,
NssssSn,constant,
NsI,constant,
NsPbH3,constant,
NssPbH2,constant,
NsssPbH,constant,
NssssPb,constant,
SsLi,constant,
SssBe,constant,
SssssBe,constant,
SssBH,constant,
SsssB,constant,
SssssB,constant,
SdCH2,constant,
StCH,constant,
StsC,constant,
SsNH3,constant,
SssNH2,constant,
SdNH,constant,
StN,constant,
SsssNH,constant,
SssssN,constant,
SsSiH3,constant,
SssSiH2,constant,
SsssSiH,constant,
SssssSi,constant,
SsPH2,constant,
SssPH,constant,
SsssP,constant,
SsssssP,constant,
SsSH,constant,
SdssS,constant,
SsGeH3,constant,
SssGeH2,constant,
SsssGeH,constant,
SssssGe,constant,
SsAsH2,constant,
SssAsH,constant,
SsssAs,constant,
SsssdAs,constant,
SsssssAs,constant,
SsSeH,constant,
SdSe,constant,
SssSe,constant,
SaaSe,constant,
SdssSe,constant,
SddssSe,constant,
SsSnH3,constant,
SssSnH2,constant,
SsssSnH,constant,
SssssSn,constant,
SsI,constant,
SsPbH3,constant,
SssPbH2,constant,
SsssPbH,constant,
SssssPb,constant,
ETA_dPsi_B,constant,
SMR_VSA2,constant,
SMR_VSA8,constant,
SlogP_VSA9,constant,
n3Ring,constant,
n4Ring,constant,
n8Ring,constant,
n9Ring,constant,
n10Ring,constant,
n11Ring,constant,
n12Ring,constant,
nG12Ring,constant,
n3HRing,constant,
n4HRing,constant,
n8HRing,constant,
n9HRing,constant,
n10HRing,constant,
n11HRing,constant,
n12HRing,constant,
nG12HRing,constant,
n3aRing,constant,
n4aRing,constant,
n7aRing,constant,
n8aRing,constant,
n9aRing,constant,
n10aRing,constant,
n11aRing,constant,
n12aRing,constant,
nG12aRing,constant,
n3aHRing,constant,
n4aHRing,constant,
n7aHRing,constant,
n8aHRing,constant,
n9aHRing,constant,
n10aHRing,constant,
n11aHRing,constant,
n12aHRing,constant,
nG12aHRing,constant,
n3ARing,constant,
n4ARing,constant,
n8ARing,constant,
n9ARing,constant,
n10ARing,constant,
n11ARing,constant,
n12ARing,constant,
nG12ARing,constant,
n3AHRing,constant,
n4AHRing,constant,
n8AHRing,constant,
n9AHRing,constant,
n10AHRing,constant,
n11AHRing,constant,
n12AHRing,constant,
nG12AHRing,constant,
n4FRing,constant,
n5FRing,constant,
n6FRing,constant,
n7FRing,constant,
n8FRing,constant,
n12FRing,constant,
n4FHRing,constant,
n5FHRing,constant,
n6FHRing,constant,
n7FHRing,constant,
n8FHRing,constant,
n12FHRing,constant,
n4FaRing,constant,
n5FaRing,constant,
n6FaRing,constant,
n7FaRing,constant,
n8FaRing,constant,
n9FaRing,constant,
n11FaRing,constant,
n12FaRing,constant,
n4FaHRing,constant,
n5FaHRing,constant,
n6FaHRing,constant,
n7FaHRing,constant,
n8FaHRing,constant,
n9FaHRing,constant,
n11FaHRing,constant,
n12FaHRing,constant,
n4FARing,constant,
n5FARing,constant,
n6FARing,constant,
n7FARing,constant,
n8FARing,constant,
n12FARing,constant,
n4FAHRing,constant,
n5FAHRing,constant,
n6FAHRing,constant,
n7FAHRing,constant,
n8FAHRing,constant,
n12FAHRing,constant,
SRW03,constant,
AATSC0c,near_constant_std<0.01,
AATSC1c,near_constant_std<0.01,
AATSC2c,near_constant_std<0.01,
AATSC3c,near_constant_std<0.01,
AATSC4c,near_constant_std<0.01,
AATSC5c,near_constant_std<0.01,
BCUTd-1l,near_constant_std<0.01,
AXp-5d,near_constant_std<0.01,
AXp-6d,near_constant_std<0.01,
AXp-7d,near_constant_std<0.01,
AXp-5dv,near_constant_std<0.01,
AXp-6dv,near_constant_std<0.01,
AXp-7dv,near_constant_std<0.01,
AETA_eta_RL,near_constant_std<0.01,
AETA_eta_B,near_constant_std<0.01,
AETA_eta_BR,near_constant_std<0.01,
ETA_dAlpha_A,near_constant_std<0.01,
ETA_epsilon_3,near_constant_std<0.01,
JGI8,near_constant_std<0.01,
JGI9,near_constant_std<0.01,
JGI10,near_constant_std<0.01,
LogEE_DzZ,correlated_with_SpMax_DzZ,1.0000000000000004
ETA_psi_1,correlated_with_ETA_dPsi_A,1.0000000000000002
SssS,correlated_with_NssS,1.0000000000000002
LogEE_D,correlated_with_SpAD_D,1.0000000000000002
LogEE_Dzse,correlated_with_SpMax_Dzse,1.0000000000000002
HybRatio,correlated_with_FCSP3,1.0
SsBr,correlated_with_NsBr,1.0
apol,correlated_with_Sp,1.0
SpAbs_A,correlated_with_SpAD_A,1.0
SpAD_D,correlated_with_SpAbs_D,1.0
SpMax_D,correlated_with_SpAbs_D,1.0
Xp-1d,correlated_with_ETA_eta_RL,1.0
n10FaRing,correlated_with_n10FaHRing,1.0
n11FARing,correlated_with_n11FAHRing,1.0
n11FHRing,correlated_with_n11FAHRing,1.0
n11FRing,correlated_with_n11FAHRing,1.0
n5aRing,correlated_with_n5aHRing,1.0
n7AHRing,correlated_with_n11FAHRing,1.0
n7ARing,correlated_with_n11FAHRing,1.0
n7HRing,correlated_with_n11FAHRing,1.0
n7Ring,correlated_with_n11FAHRing,1.0
n9FHRing,correlated_with_n9FAHRing,1.0
n9FRing,correlated_with_n9FARing,1.0
nBondsA,correlated_with_nAromBond,1.0
nBondsO,correlated_with_MWC01,1.0
nBr,correlated_with_NsBr,1.0
nCl,correlated_with_NsCl,1.0
nF,correlated_with_NsF,1.0
nFaRing,correlated_with_nFaHRing,1.0
nG12FaRing,correlated_with_nG12FaHRing,1.0
nP,correlated_with_NdsssP,1.0
LogEE_Dzp,correlated_with_SpMax_Dzp,0.9999999999999999
SaaS,correlated_with_NaaS,0.9999999999999998
LogEE_Dzm,correlated_with_SpMax_Dzm,0.9999999999999998
SddC,correlated_with_NddC,0.9999999999999997
LogEE_Dzpe,correlated_with_SpMax_Dzpe,0.9999999999999996
SaaNH,correlated_with_NaaNH,0.9999999999999993
LogEE_Dzare,correlated_with_SpMax_Dzare,0.999999999999999
LogEE_Dzi,correlated_with_SpMax_Dzi,0.999999999999999
LogEE_Dzv,correlated_with_SpMax_Dzv,0.999999999999999
VE3_Dzm,correlated_with_VE3_DzZ,0.9999999925760866
VE3_Dzse,correlated_with_VE3_Dzpe,0.9999999614127003
VE1_Dzm,correlated_with_VE1_DzZ,0.9999999352543023
VR3_DzZ,correlated_with_VR3_Dzm,0.9999999332010557
VE2_DzZ,correlated_with_VE2_Dzm,0.9999999306056331
SpMax_Dzi,correlated_with_SpAD_Dzi,0.9999998828643087
SpAD_Dzse,correlated_with_SpMax_Dzse,0.9999998819054473
VE3_Dzare,correlated_with_VE3_Dzpe,0.9999998748280914
SpMax_Dzpe,correlated_with_SpAD_Dzpe,0.9999998612839541
VR1_DzZ,correlated_with_VR1_Dzm,0.9999998399677824
SpMax_Dzare,correlated_with_SpAD_Dzare,0.9999998276572701
VR3_Dzse,correlated_with_VR3_Dzpe,0.9999997807735864
VE1_Dzse,correlated_with_VE1_Dzpe,0.9999996631876881
VE2_Dzpe,correlated_with_VE2_Dzse,0.9999996447514592
VE3_Dzpe,correlated_with_VE3_Dzi,0.9999996003732275
VR1_Dzpe,correlated_with_VR1_Dzse,0.99999949160647
VR3_Dzpe,correlated_with_VR3_Dzare,0.9999992090122863
VE1_Dzare,correlated_with_VE1_Dzpe,0.9999990435144396
VR2_DzZ,correlated_with_VR2_Dzm,0.9999986741394686
