ID,SMILES,CAS-ID,Exp_log (rat toxicity)
28,CC(=O)CC(C1=CC=C(C=C1)[N+]([O-])=O)C2=C(O)C3=CC=CC=C3OC2=O,152-72-7,2.838
29,OC(=O)C1=C(C=CC(=C1)OC2=CC=C(C=C2Cl)C(F)(F)F)[N+]([O-])=O,50594-66-6,2.422
30,CC[P](=S)(OC(C)C)OC1=CC=C(C=C1Cl)[N+]([O-])=O,328-04-1,4.005
31,COC1=CC=CC2=C3C4=C(OCO4)C=C(C(O)=O)C3=C(C=C12)[N](=O)=O,313-67-7,3.268
32,C[N]1C(=NC=C1[N+]([O-])=O)\C=C\C2=NC(=NC=C2)N,62973-76-6,1.511
33,COC1=CC(=CC=C1N)[N](=O)=O,97-52-9,2.227
34,[O-][N+](=O)C1=CC=C(CCl)C=C1,100-14-1,1.977
35,[O-][N+](=O)C1=CC=C(C=C1)N=C=O,100-28-7,2.011
36,OC(=O)C1=CC(=CC(=C1Cl)[N+]([O-])=O)Cl,88-86-8,1.829
37,COC1=CC(=C(NC(C)=O)C=C1N(CCOC(C)=O)CCOC(C)=O)N=NC2=C(Br)C=C(C=C2[N+]([O-])=O)[N+]([O-])=O,3618-72-2,2.097
38,OCC(NC(=O)C(Cl)Cl)C(O)C1=CC=C(C=C1)[N+]([O-])=O,56-75-7,2.092
39,[O-][N+](=O)C1=CC2=C(NC(=O)CN=C2C3=CC=CC=C3Cl)C=C1,1622-61-3,1.323
40,OC1=C(C=C(C=C1C2CCCCC2)[N+]([O-])=O)[N+]([O-])=O,131-89-5,3.612
41,CC1=C(C=C(C=C1C(N)=O)[N+]([O-])=O)[N+]([O-])=O,148-01-6,2.574
42,CCC(C)C1=CC(=CC(=C1O)[N+]([O-])=O)[N+]([O-])=O,88-85-7,3.983
43,CC1=C(O)C(=CC(=C1)[N+]([O-])=O)[N+]([O-])=O,534-52-1,4.452
44,CO[P](=S)(OC)OC1=CC=C(C(=C1)C)[N+]([O-])=O,122-14-5,3.045
45,CN1C(=O)CN=C(C2=CC=CC=C2F)C3=C1C=CC(=C3)[N+]([O-])=O,1622-62-4,2.878
46,CO[P](=S)(OC)OC1=CC(=C(C=C1)[N+]([O-])=O)C(F)(F)F,363-97-3,3.122
47,[O-][N+](=O)C1=CC(=CC=C1)C(F)(F)F,98-46-4,2.496
48,CC(=O)C1=CC=CC(=C1)[N+]([O-])=O,121-89-1,1.706
49,CC1=C(C2=C(C=C1[N](=O)=O)C(C)(C)CC2(C)C)[N](=O)=O,116-66-5,1.746
50,COC1=C(C=C(C(=C1[N+]([O-])=O)C)[N+]([O-])=O)C(C)(C)C,83-66-9,2.898
