fold,train_r2,val_r2,train_rmse,val_rmse,train_mae,val_mae
1,0.9575181017546991,0.7290924616666534,0.16216439400599436,0.4643731263901303,0.12779381774093193,0.3965722878244756
2,0.9308753435978984,0.8586835511786658,0.221358475728706,0.18223436962607664,0.1801336558967564,0.14819857773029077
3,0.9304015371713341,0.9221487887437334,0.2104922981538019,0.20168603789404788,0.1666888747247377,0.18697877776144933
4,0.9689028002392089,0.4764437188224152,0.1471675406122852,0.5276992486742119,0.12254158602523016,0.41465704233997047
5,0.9457916617601684,0.8000012745531494,0.18777594156199354,0.3507124408255475,0.1504025701560358,0.33243052464979095
