source,mean_train_r2,mean_cv_r2,std_cv_r2,train_cv_r2_gap,selected
baseline,0.9991793565303098,0.19112954448752695,0.3954562528005984,0.8080498120427828,True
hpo_round_1,0.5887722611172166,0.37363554157995776,0.20233277952418563,0.21513671953725882,False
hpo_round_2,0.5908675381509105,0.3760756325342801,0.20362099532874312,0.21479190561663042,False
hpo_round_3,0.5908675381509105,0.3760756325342804,0.20362099532874317,0.21479190561663014,False
