n_features,mean_train_r2,mean_cv_r2,std_cv_r2,selected_features
1,0.7709382845493133,0.6830614999198055,0.3345194508124097,['RDKit_SPS']
2,0.929639956185465,0.7274805381718921,0.1169307046795921,"['RDKit_EState_VSA1', 'RDKit_SPS']"
3,0.888460245039888,0.7110494803490951,0.12931213963114338,"['RDKit_BalabanJ', 'RDKit_EState_VSA1', 'RDKit_SPS']"
4,0.9428379056625673,0.7468021506048016,0.10975133116177167,"['RDKit_BalabanJ', 'RDKit_EState_VSA1', 'RDKit_SPS', 'RDKit_VSA_EState3']"
