n_features,mean_train_r2,mean_cv_r2,std_cv_r2,selected_features
1,0.8057077638912807,0.5325911025249573,0.4249611016758447,['AXp-1dv']
2,0.9243559461684723,0.7441983863096425,0.19224487408495658,"['Xp-4dv', 'AXp-1dv']"
3,0.9121261029035022,0.7718030983920916,0.13310581488207462,"['AATS0s', 'Xp-4dv', 'AXp-1dv']"
4,0.8799927580723215,0.8003462957966898,0.14008695115264996,"['AATS0s', 'C3SP3', 'Xp-4dv', 'AXp-1dv']"
5,0.9164529543859474,0.820067196732122,0.14284208794680647,"['AATS0s', 'ATSC1i', 'C3SP3', 'Xp-4dv', 'AXp-1dv']"
