fold,train_r2,val_r2,train_rmse,val_rmse,train_mae,val_mae
1,0.9511433864731555,0.5407436098777565,0.22421753269961242,0.4982014991207406,0.1564518957888477,0.42427126995404635
2,0.9544216202558244,0.6819349444851522,0.20727848639483223,0.5421336272384639,0.14295677330233844,0.4472288216732818
3,0.9462037792194715,0.5191265750561959,0.22027116150440948,0.7231943185298504,0.1531193464291584,0.5257906887345096
4,0.9494615979563051,0.5009419124887362,0.21106289729394176,0.7604572219412521,0.15327842920968257,0.5266852544478746
5,0.9388352648447859,0.3918971412699004,0.23998472442892252,0.7491631789046611,0.16707505987997984,0.5093969748084138
