generation,best_fitness,avg_fitness
1,0.8317520700535581,0.25390667667873196
2,0.8317520700535581,0.448490862937311
3,0.8776057184889764,-1.4447364323476082e+32
4,0.9109213357365036,-1.644828006765199
5,0.930349799210895,0.7721149042715818
6,0.930349799210895,-7.902086981284084e+24
7,0.930349799210895,0.8706380021668402
8,0.930349799210895,0.8542357034013299
9,0.930349799210895,0.8901213978150351
10,0.930349799210895,0.8928860547573276
11,0.930349799210895,0.9253226130047497
12,0.930349799210895,-3.059348468119607e+27
13,0.930349799210895,0.9157837756113472
14,0.930349799210895,0.9057156044389489
15,0.930349799210895,0.8894673321679982
16,0.930349799210895,0.9274425784316969
17,0.930349799210895,0.9121148030069509
18,0.930349799210895,-74.49003978524327
19,0.930349799210895,-7.257001011128313e+26
20,0.930349799210895,0.8897193558583154
21,0.930349799210895,0.8981767772949866
22,0.930349799210895,0.930349799210895
23,0.930349799210895,0.9059175486322107
24,0.930349799210895,0.920559558734265
25,0.930349799210895,0.9029101563730907
26,0.930349799210895,0.8672616367099184
27,0.930349799210895,0.930349799210895
28,0.930349799210895,0.8988755956012207
29,0.930349799210895,0.9100167050199172
30,0.930349799210895,0.9279856664622251
