fold,train_r2,val_r2,train_rmse,val_rmse,train_mae,val_mae
1,0.9044195425871634,0.26151174260149324,0.31361183323160746,0.6317557787187417,0.25126642497996976,0.520313598931791
2,0.909037545487817,0.4759627732464393,0.2928234632620881,0.695872120757389,0.23033566509207415,0.5345133968958019
3,0.8811673458802617,0.6326017797253436,0.3273781248418118,0.6321325318945149,0.2600611722736662,0.5473756460237708
4,0.9049938998618958,0.30726448491694636,0.2893855810493297,0.895948334487142,0.21914851119262402,0.6663851177378177
5,0.9012355666397319,0.36999167407822176,0.3049532998740651,0.7625372182179323,0.23652457105029603,0.5344748192684998
